"user_id","cart_id","first_name","last_name","gender","age","street","city","postal_code","product_id","quantity","price","total_cart_value"
"147","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"37","4","1.99","7757.8"
"147","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"41","2","2.49","7757.8"
"147","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"82","5","1499.99","7757.8"
"150","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"128","3","149.99","35199.86"
"150","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"97","3","10999.99","35199.86"
"150","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"112","3","499.99","35199.86"
"150","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"172","5","49.99","35199.86"
"160","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"94","3","1499.99","29499.92"
"160","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"190","5","4999.99","29499.92"
"170","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"107","4","49.99","3862.43"
"170","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"121","4","199.99","3862.43"
"170","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"25","2","1.29","3862.43"
"170","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"80","2","1399.99","3862.43"
"170","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"153","5","11.99","3862.43"
"172","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"127","1","299.99","568.36"
"172","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"88","1","149.99","568.36"
"172","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"32","3","3.49","568.36"
"172","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"74","3","4.99","568.36"
"172","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"145","3","29.99","568.36"
"172","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"26","3","0.99","568.36"
"177","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"35","4","2.29","128249.07"
"177","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"46","4","14.99","128249.07"
"177","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"171","4","31999.99","128249.07"
"177","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"181","1","179.99","128249.07"
"189","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"127","4","299.99","1464.78"
"189","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5","5","8.99","1464.78"
"189","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"44","2","29.99","1464.78"
"189","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"154","3","29.99","1464.78"
"189","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"20","5","4.99","1464.78"
"189","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"24","3","14.99","1464.78"
"194","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"134","5","249.99","65529.87"
"194","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"47","2","49.99","65529.87"
"194","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"191","4","15999.99","65529.87"
"194","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"178","2","89.99","65529.87"
"200","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"19","2","9.99","172.24"
"200","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"35","1","2.29","172.24"
"200","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"152","3","49.99","172.24"
"202","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"181","5","179.99","931.91"
"202","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"63","4","7.99","931.91"
